StockCode,SpecCode,PopQB,Winf,K,t0,Mortality,Genus,Species,sciname
711,695,7.059999942779541,149,0.47999998927116394,-0.27000001072883606,0.7799999713897705,Limanda,limanda,Limanda_limanda
801,785,4.739999771118164,5877,0.3199999928474426,-0.4099999964237213,0.5099999904632568,Mugil,cephalus,Mugil_cephalus
801,785,12.279999732971191,787,0.3499999940395355,-0.4399999976158142,0.75,Mugil,cephalus,Mugil_cephalus
1180,1164,1.6100000143051147,4000,0.2750000059604645,-0.25999999046325684,1,Sparus,aurata,Sparus_aurata
1180,1164,4.659999847412109,9617,0.12999999523162842,-0.9900000095367432,0.33000001311302185,Sparus,aurata,Sparus_aurata
1180,1164,4.739999771118164,3555,0.15000000596046448,-0.8999999761581421,0.20000000298023224,Sparus,aurata,Sparus_aurata
1360,1342,2.130000114440918,3430,0.07999999821186066,-1.7300000190734863,0.11999999731779099,Pleuronectes,platessa,Pleuronectes_platessa
1360,1342,3.4200000762939453,910,0.15000000596046448,-1.0199999809265137,0.2199999988079071,Pleuronectes,platessa,Pleuronectes_platessa
1408,1390,113,429,0.5199999809265137,-0.3199999928474426,1.2000000476837158,Coptodon,zillii,Coptodon_zillii
1415,1397,4.460000038146973,1265,0.3100000023841858,-0.5,0.7699999809265137,Coptodon,rendalli,Coptodon_rendalli
1415,1397,9.279999732971191,360,0.9399999976158142,-0.18000000715255737,1.7000000476837158,Coptodon,rendalli,Coptodon_rendalli
1423,1387,7.5,479,3.5999999046325684,-0.03999999910593033,3.5999999046325684,Oreochromis,aureus,Oreochromis_aureus
1461,1412,65.0999984741211,215,0.7400000095367432,0,3.700000047683716,Sarotherodon,melanotheron,Sarotherodon_melanotheron
1476,1423,5.239999771118164,13000,0.10000000149011612,-0.699999988079071,0.25,Lutjanus,campechanus,Lutjanus_campechanus
1506,1406,6.650000095367432,3229,0.3100000023841858,-0.4399999976158142,0.550000011920929,Lutjanus,erythropterus,Lutjanus_erythropterus
1776,1583,8.229999542236328,6,0.4690000116825104,-0.38999998569488525,1.0499999523162842,Alosa,pseudoharengus,Alosa_pseudoharengus
1782,1589,8.100000381469727,362,0.4749999940395355,-0.36000001430511475,1.090000033378601,Brevoortia,patronus,Brevoortia_patronus
1785,1592,31.399999618530273,1216,0.296999990940094,-0.5199999809265137,0.75,Brevoortia,tyrannus,Brevoortia_tyrannus
1884,6,8.479999542236328,147000,0.5659999847412109,-0.18000000715255737,0.699999988079071,Coryphaena,hippurus,Coryphaena_hippurus
2114,1918,10.600000381469727,3036,0.14300000667572021,-1.0099999904632568,0.4099999964237213,Caranx,ruber,Caranx_ruber
2130,1934,1.3200000524520874,21887,0.08399999886751175,-1.2999999523162842,0.2199999988079071,Clarias,gariepinus,Clarias_gariepinus
2130,1934,1.7300000190734863,6074,0.1420000046491623,0.8899999856948853,0.335999995470047,Clarias,gariepinus,Clarias_gariepinus
2231,2033,29.6200008392334,153,0.5,-0.36000001430511475,1.100000023841858,Oreochromis,grahami,Oreochromis_grahami
2285,2089,1.3300000429153442,1688,0.27000001072883606,-0.5199999809265137,0.5799999833106995,Clarias,ngamensis,Clarias_ngamensis
2599,2405,5.420000076293945,250,0.6000000238418579,-0.25999999046325684,1.2000000476837158,Alestes,baremoze,Alestes_baremoze
2599,2405,6.440000057220459,250,0.6000000238418579,-0.25999999046325684,1.2000000476837158,Alestes,baremoze,Alestes_baremoze
2615,2420,3.8499999046325684,1.7999999523162842,0.6399999856948853,-0.3799999952316284,0.8999999761581421,Gasterosteus,aculeatus,Gasterosteus_aculeatus
3218,3022,12.699999809265137,710,0.4699999988079071,0.18000000715255737,0.7099999785423279,Ameiurus,nebulosus,Ameiurus_nebulosus
3569,3373,15.399999618530273,702,0.15000000596046448,-1.100000023841858,0.5199999809265137,Lepomis,gulosus,Lepomis_gulosus
3581,3385,6.21999979019165,2296,0.2199999988079071,-0.6499999761581421,0.5600000023841858,Micropterus,salmoides,Micropterus_salmoides
3581,3385,10.100000381469727,3290,0.20000000298023224,-0.10999999940395355,0.5099999904632568,Micropterus,salmoides,Micropterus_salmoides
4175,3979,1.0950000286102295,3776,0.14300000667572021,-0.9900000095367432,0.2800000011920929,Sebastes,melanops,Sebastes_melanops
4505,4310,13.899999618530273,1093,1.0399999618530273,-0.25999999046325684,0.7200000286102295,Plagioscion,squamosissimus,Plagioscion_squamosissimus
4635,1389,15.699999809265137,1396,0.33000001311302185,-0.7200000286102295,0.800000011920929,Sarotherodon,galilaeus,Sarotherodon_galilaeus
4637,4439,4.239999771118164,615,1.4199999570846558,-0.10000000149011612,2.200000047683716,Labeo,catla,Labeo_catla
4654,4456,3.8299999237060547,167,0.8999999761581421,0,2.809999942779541,Siganus,canaliculatus,Siganus_canaliculatus
4654,4456,61.5,215,1.8700000047683716,0.019999999552965164,2.8499999046325684,Siganus,canaliculatus,Siganus_canaliculatus
4655,4457,41.900001525878906,234,3.319999933242798,-0.20999999344348907,3.309999942779541,Siganus,spinus,Siganus_spinus
4658,4460,4.010000228881836,12338,0.1899999976158142,-0.6600000262260437,0.4399999976158142,Epinephelus,fuscoguttatus,Epinephelus_fuscoguttatus
4659,4461,2.3399999141693115,17940,0.11999999731779099,-1.3799999952316284,0.8899999856948853,Epinephelus,tauvina,Epinephelus_tauvina
4666,4468,19.899999618530273,4,0.3100000023841858,-0.7400000095367432,1.0399999618530273,Symbolophorus,evermanni,Symbolophorus_evermanni
4686,4488,37.5,8,0.3400000035762787,-0.6800000071525574,1.1200000047683716,Dasyscopelus,asper,Dasyscopelus_asper
4687,4489,16.200000762939453,10,0.17000000178813934,-1.2799999713897705,0.6399999856948853,Myctophum,aurolaternatum,Myctophum_aurolaternatum
